Metric,r,r2,p,Pearson_CI_lo,Pearson_CI_hi,rho,Spearman_CI_lo,Spearman_CI_hi,tau,Slope,Intercept
zeta,0.5165364395222088,0.2668098933542805,0.011619173644864091,0.20664284220250298,0.789278089184214,0.5277238069293682,0.15147152987867907,0.7831226762808718,0.3687737615579495,1.7397564022335372,-14.493448581991242
RRMS,0.5615512094874581,0.315339760876827,0.005299373443690604,0.3459014929943096,0.7552371395385639,0.5064366364809978,0.17031956387466232,0.7224981824810169,0.34472329884764846,0.19609937674240727,-14.12797623209382
WRMS,0.6277854851003429,0.3941146153026729,0.0013409522238480487,0.46712903517857957,0.7935462063706532,0.7222786438179626,0.4520586116895474,0.8754980758228043,0.5210933587231895,0.32425844766066936,-13.880907185303876
